"268756"	"Social Communication Disorder"			"D000067404"		"Social Communication Disorder"			
"268757"	"Legal Services"			"D000067408"		"Legal Services"			
"268758"	"Defamation"			"D000067448"		"Defamation"			
"268759"	"Anger Management Therapy"			"D000067449"		"Anger Management Therapy"			
"268760"	"Psychology, Sports"			"D000067450"		"Psychology, Sports"			
"268761"	"War Exposure"			"D000067453"		"War Exposure"			
"268762"	"Childhood-Onset Fluency Disorder"			"D000067454"		"Childhood-Onset Fluency Disorder"			
"268763"	"No-Show Patients"			"D000067455"		"No-Show Patients"			
"268764"	"Cellular Reprogramming Techniques"			"D000067470"		"Cellular Reprogramming Techniques"			
"268765"	"Metacognition"			"D000067489"		"Metacognition"			
"268766"	"Prescription Drug Overuse"			"D000067490"		"Prescription Drug Overuse"			
"268767"	"Near Miss, Healthcare"			"D000067491"		"Near Miss, Healthcare"			
"268768"	"RNAi Therapeutics"			"D000067492"		"RNAi Therapeutics"			
"268769"	"Dynamic Light Scattering"			"D000067493"		"Dynamic Light Scattering"			
"268770"	"Time Out, Healthcare"			"D000067494"		"Time Out, Healthcare"			
"268771"	"Healthcare Failure Mode and Effect Analysis"			"D000067495"		"Healthcare Failure Mode and Effect Analysis"			
"268772"	"Spirit Possession"			"D000067496"		"Spirit Possession"			
"268773"	"Crew Resource Management, Healthcare"			"D000067498"		"Crew Resource Management, Healthcare"			
"268774"	"Computer Heuristics"			"D000067508"		"Computer Heuristics"			
"268775"	"Ataxins"			"D000067528"		"Ataxins"			
"268776"	"Alarmins"			"D000067531"		"Alarmins"			
"268777"	"Dermal Fillers"			"D000067548"		"Dermal Fillers"			
"268778"	"Action Spectrum"			"D000067549"		"Action Spectrum"			
"268779"	"Diplomacy"			"D000067551"		"Diplomacy"			
"268780"	"Mutation Accumulation"			"D000067552"		"Mutation Accumulation"			
"268781"	"Internal Ribosome Entry Sites"			"D000067556"		"Internal Ribosome Entry Sites"			
"268782"	"Biological Mimicry"			"D000067558"		"Biological Mimicry"			
"268783"	"Specific Learning Disorder"			"D000067559"		"Specific Learning Disorder"			
"268784"	"Potentially Inappropriate Medication List"			"D000067561"		"Potentially Inappropriate Medication List"			
"268785"	"Late Onset Disorders"			"D000067562"		"Late Onset Disorders"			
"268786"	"Phakopsora pachyrhizi"			"D000067563"		"Phakopsora pachyrhizi"			
"268787"	"Farmers"			"D000067565"		"Farmers"			
"268788"	"Culturally Appropriate Technology"			"D000067568"		"Culturally Appropriate Technology"			
"268789"	"Social Learning"			"D000067570"		"Social Learning"			
"268790"	"Financial Statements"			"D000067571"		"Financial Statements"			
"268791"	"Miners"			"D000067572"		"Miners"			
"268792"	"Chronopharmacokinetics"			"D000067573"		"Chronopharmacokinetics"			
"268793"	"Administrative Claims, Healthcare"			"D000067575"		"Administrative Claims, Healthcare"			
"268794"	"Child Health"			"D000067576"		"Child Health"			
"268795"	"Interleukin-33"			"D000067596"		"Interleukin-33"			
"268796"	"S100A12 Protein"			"D000067616"		"S100A12 Protein"			
"268797"	"Telopodes"			"D000067617"		"Telopodes"			
"268798"	"Drosophila simulans"			"D000067636"		"Drosophila simulans"			
"268799"	"Optimism"			"D000067656"		"Optimism"			
"268800"	"Pessimism"			"D000067657"		"Pessimism"			
"268801"	"Ataxin-1"			"D000067696"		"Ataxin-1"			
"268802"	"Adolescent Health"			"D000067697"		"Adolescent Health"			
"268803"	"Ataxin-2"			"D000067698"		"Ataxin-2"			
"268804"	"Ataxin-3"			"D000067699"		"Ataxin-3"			
"268805"	"Point-of-Care Testing"			"D000067716"		"Point-of-Care Testing"			
"268806"	"Ataxin-7"			"D000067719"		"Ataxin-7"			
"268807"	"Ataxin-10"			"D000067736"		"Ataxin-10"			
"268808"	"Glucagon-Like Peptide Receptors"			"D000067756"		"Glucagon-Like Peptide Receptors"			
"268809"	"Glucagon-Like Peptide-1 Receptor"			"D000067757"		"Glucagon-Like Peptide-1 Receptor"			
"268810"	"Glucagon-Like Peptide-2 Receptor"			"D000067758"		"Glucagon-Like Peptide-2 Receptor"			
"268811"	"Advanced Glycosylation End Product-Specific Receptor"			"D000067759"		"Advanced Glycosylation End Product-Specific Receptor"			
"268812"	"RNA Recognition Motif Proteins"			"D000067776"		"RNA Recognition Motif Proteins"			
"268813"	"ELAV-Like Protein 2"			"D000067777"		"ELAV-Like Protein 2"			
"268814"	"ELAV-Like Protein 3"			"D000067778"		"ELAV-Like Protein 3"			
"268815"	"ELAV-Like Protein 4"			"D000067779"		"ELAV-Like Protein 4"			
"268816"	"ELAV-Like Protein 1"			"D000067780"		"ELAV-Like Protein 1"			
"268817"	"Whey"			"D000067796"		"Whey"			
"268818"	"Whey Proteins"			"D000067816"		"Whey Proteins"			
"268819"	"Hoarding Disorder"			"D000067836"		"Hoarding Disorder"			
"268820"	"Poly(ADP-ribose) Polymerase Inhibitors"			"D000067856"		"Poly(ADP-ribose) Polymerase Inhibitors"			
"268821"	"Autism Spectrum Disorder"			"D000067877"		"Autism Spectrum Disorder"			
"268822"	"CELF Proteins"			"D000067878"		"CELF Proteins"			
"268823"	"CELF1 Protein"			"D000067879"		"CELF1 Protein"			
"268824"	"Industrial Development"			"D000067896"		"Industrial Development"			
"268825"	"Cloud Computing"			"D000067917"		"Cloud Computing"			
"268826"	"Natural Resources"			"D000067936"		"Natural Resources"			
"268827"	"Glycemic Load"			"D000067940"		"Glycemic Load"			
"268828"	"Adenylyl Cyclase Inhibitors"			"D000067956"		"Adenylyl Cyclase Inhibitors"			
"268829"	"RAW 264.7 Cells"			"D000067996"		"RAW 264.7 Cells"			
"268830"	"Accreditation"			"D000068"		"Accreditation"			
"268831"	"Clostridiales"			"D000068016"		"Clostridiales"			
"268832"	"Graphic Novels"			"D000068036"		"Graphic Novels"			
"268833"	"South Sudan"			"D000068037"		"South Sudan"			
"268834"	"Motor Disorders"			"D000068079"		"Motor Disorders"			
"268835"	"Maternal Health"			"D000068097"		"Maternal Health"			
"268836"	"Seed Bank"			"D000068098"		"Seed Bank"			
"268837"	"Trauma and Stressor Related Disorders"			"D000068099"		"Trauma and Stressor Related Disorders"			
"268838"	"Maternal-Child Health Services"			"D000068101"		"Maternal-Child Health Services"			
"268839"	"Serine-Arginine Splicing Factors"			"D000068103"		"Serine-Arginine Splicing Factors"			
"268840"	"Infant Health"			"D000068104"		"Infant Health"			
"268841"	"Bipolar and Related Disorders"			"D000068105"		"Bipolar and Related Disorders"			
"268842"	"Gender Dysphoria"			"D000068116"		"Gender Dysphoria"			
"268843"	"Formative Feedback"			"D000068156"		"Formative Feedback"			
"268844"	"Aripiprazole"			"D000068180"		"Aripiprazole"			
"268845"	"Prunus dulcis"			"D000068181"		"Prunus dulcis"			
"268846"	"Albumin-Bound Paclitaxel"			"D000068196"		"Albumin-Bound Paclitaxel"			
"268847"	"Child Protective Services"			"D000068216"		"Child Protective Services"			
"268848"	"Social Workers"			"D000068217"		"Social Workers"			
"268849"	"Prunus africana"			"D000068218"		"Prunus africana"			
"268850"	"Prunus armeniaca"			"D000068219"		"Prunus armeniaca"			
"268851"	"Prunus avium"			"D000068220"		"Prunus avium"			
"268852"	"Refugium"			"D000068236"		"Refugium"			
"268853"	"Distance Counseling"			"D000068237"		"Distance Counseling"			
"268854"	"Lubiprostone"			"D000068238"		"Lubiprostone"			
"268855"	"Prunus persica"			"D000068239"		"Prunus persica"			
"268856"	"Data Anonymization"			"D000068240"		"Data Anonymization"			
"268857"	"Personally Identifiable Information"			"D000068241"		"Personally Identifiable Information"			
"268858"	"Prunus domestica"			"D000068242"		"Prunus domestica"			
"268859"	"Darbepoetin alfa"			"D000068256"		"Darbepoetin alfa"			
"268860"	"Efavirenz, Emtricitabine, Tenofovir Disoproxil Fumarate Drug Combination"			"D000068257"		"Efavirenz, Emtricitabine, Tenofovir Disoproxil Fumarate Drug Combination"			
"268861"	"Bevacizumab"			"D000068258"		"Bevacizumab"			
"268862"	"Giraffes"			"D000068276"		"Giraffes"			
"268863"	"Risedronate Sodium"			"D000068296"		"Risedronate Sodium"			
"288560"	"Dugong"			"D020454"		"Dugong"			
"268864"	"Fluticasone Propionate, Salmeterol Xinafoate Drug Combination"			"D000068297"		"Fluticasone Propionate, Salmeterol Xinafoate Drug Combination"			
"268865"	"Fluticasone"			"D000068298"		"Fluticasone"			
"268866"	"Salmeterol Xinafoate"			"D000068299"		"Salmeterol Xinafoate"			
"268867"	"Parks, Recreational"			"D000068316"		"Parks, Recreational"			
"268868"	"Warfare and Armed Conflicts"			"D000068336"		"Warfare and Armed Conflicts"			
"268869"	"Armed Conflicts"			"D000068337"		"Armed Conflicts"			
"268870"	"Everolimus"			"D000068338"		"Everolimus"			
"268871"	"Aspirin, Dipyridamole Drug Combination"			"D000068342"		"Aspirin, Dipyridamole Drug Combination"			
"268872"	"Self-Control"			"D000068356"		"Self-Control"			
"268873"	"Saline Waters"			"D000068357"		"Saline Waters"			
"268874"	"Compassion Fatigue"			"D000068376"		"Compassion Fatigue"			
"268875"	"Plantaginaceae"			"D000068377"		"Plantaginaceae"			
"268876"	"Lamiales"			"D000068378"		"Lamiales"			
"268877"	"Clinical Study"			"D000068397"		"Clinical Study"			
"268878"	"Surgical Clearance"			"D000068436"		"Surgical Clearance"			
"268879"	"Pemetrexed"			"D000068437"		"Pemetrexed"			
"268880"	"Brimonidine Tartrate"			"D000068438"		"Brimonidine Tartrate"			
"268881"	"Clinical Studies as Topic"			"D000068456"		"Clinical Studies as Topic"			
"268882"	"Beijing"			"D000068476"		"Beijing"			
"268883"	"African Union"			"D000068516"		"African Union"			
"268884"	"Firmicutes"			"D000068536"		"Firmicutes"			
"268885"	"Dutasteride"			"D000068538"		"Dutasteride"			
"268886"	"Calceolariaceae"			"D000068543"		"Calceolariaceae"			
"268887"	"Interferon beta-1a"			"D000068556"		"Interferon beta-1a"			
"268888"	"Olmesartan Medoxomil"			"D000068557"		"Olmesartan Medoxomil"			
"268889"	"Amlodipine Besylate, Olmesartan Medoxomil Drug Combination"			"D000068558"		"Amlodipine Besylate, Olmesartan Medoxomil Drug Combination"			
"268890"	"Interferon beta-1b"			"D000068576"		"Interferon beta-1b"			
"268891"	"Nebivolol"			"D000068577"		"Nebivolol"			
"268892"	"Celecoxib"			"D000068579"		"Celecoxib"			
"268893"	"Varenicline"			"D000068580"		"Varenicline"			
"268894"	"Tadalafil"			"D000068581"		"Tadalafil"			
"268895"	"Certolizumab Pegol"			"D000068582"		"Certolizumab Pegol"			
"268896"	"Censorship, Research"			"D000068597"		"Censorship, Research"			
"268897"	"Data Accuracy"			"D000068598"		"Data Accuracy"			
"268898"	"Brimonidine Tartrate, Timolol Maleate Drug Combination"			"D000068599"		"Brimonidine Tartrate, Timolol Maleate Drug Combination"			
"268899"	"Albuterol, Ipratropium Drug Combination"			"D000068600"		"Albuterol, Ipratropium Drug Combination"			
"268900"	"Dual Use Research"			"D000068601"		"Dual Use Research"			
"268901"	"Professionalism"			"D000068616"		"Professionalism"			
"268902"	"Genetic Background"			"D000068617"		"Genetic Background"			
"268903"	"Selective Breeding"			"D000068618"		"Selective Breeding"			
"268904"	"Legendary Creatures"			"D000068636"		"Legendary Creatures"			
"268905"	"Mometasone Furoate"			"D000068656"		"Mometasone Furoate"			
"268906"	"Fallopia multiflora"			"D000068676"		"Fallopia multiflora"			
"268907"	"Sildenafil Citrate"			"D000068677"		"Sildenafil Citrate"			
"268908"	"Emtricitabine, Rilpivirine, Tenofovir Drug Combination"			"D000068678"		"Emtricitabine, Rilpivirine, Tenofovir Drug Combination"			
"268909"	"Emtricitabine"			"D000068679"		"Emtricitabine"			
"268910"	"Rilpivirine"			"D000068696"		"Rilpivirine"			
"268911"	"Tenofovir"			"D000068698"		"Tenofovir"			
"268912"	"Glatiramer Acetate"			"D000068717"		"Glatiramer Acetate"			
"268913"	"Rosuvastatin Calcium"			"D000068718"		"Rosuvastatin Calcium"			
"268914"	"Duloxetine Hydrochloride"			"D000068736"		"Duloxetine Hydrochloride"			
"268915"	"Tolterodine Tartrate"			"D000068737"		"Tolterodine Tartrate"			
"268916"	"Valsartan"			"D000068756"		"Valsartan"			
"268917"	"Ononis"			"D000068757"		"Ononis"			
"268918"	"Mometasone Furoate, Formoterol Fumarate Drug Combination"			"D000068758"		"Mometasone Furoate, Formoterol Fumarate Drug Combination"			
"268919"	"Formoterol Fumarate"			"D000068759"		"Formoterol Fumarate"			
"268920"	"Serotonin and Noradrenaline Reuptake Inhibitors"			"D000068760"		"Serotonin and Noradrenaline Reuptake Inhibitors"			
"268921"	"Sleep Aids, Pharmaceutical"			"D000068776"		"Sleep Aids, Pharmaceutical"			
"268922"	"Orexin Receptor Antagonists"			"D000068796"		"Orexin Receptor Antagonists"			
"268923"	"Orexins"			"D000068797"		"Orexins"			
"268924"	"Hoodia"			"D000068798"		"Hoodia"			
"268925"	"Prasugrel Hydrochloride"			"D000068799"		"Prasugrel Hydrochloride"			
"268926"	"Etanercept"			"D000068800"		"Etanercept"			
"268927"	"Adapalene, Benzoyl Peroxide Drug Combination"			"D000068801"		"Adapalene, Benzoyl Peroxide Drug Combination"			
"268928"	"Adapalene"			"D000068816"		"Adapalene"			
"268929"	"Epoetin Alfa"			"D000068817"		"Epoetin Alfa"			
"268930"	"Cetuximab"			"D000068818"		"Cetuximab"			
"268931"	"Hyssopus Plant"			"D000068819"		"Hyssopus Plant"			
"268932"	"Rivastigmine"			"D000068836"		"Rivastigmine"			
"268933"	"Parmeliaceae"			"D000068837"		"Parmeliaceae"			
"268934"	"Amlodipine, Valsartan Drug Combination"			"D000068838"		"Amlodipine, Valsartan Drug Combination"			
"268935"	"Eugenia"			"D000068856"		"Eugenia"			
"268936"	"Human Papillomavirus Recombinant Vaccine Quadrivalent, Types 6, 11, 16, 18"			"D000068857"		"Human Papillomavirus Recombinant Vaccine Quadrivalent, Types 6, 11, 16, 18"			
"268937"	"Kombucha Tea"			"D000068858"		"Kombucha Tea"			
"268938"	"Fingolimod Hydrochloride"			"D000068876"		"Fingolimod Hydrochloride"			
"268939"	"Imatinib Mesylate"			"D000068877"		"Imatinib Mesylate"			
"268940"	"Trastuzumab"			"D000068878"		"Trastuzumab"			
"268941"	"Adalimumab"			"D000068879"		"Adalimumab"			
"268942"	"Isophane Insulin, Human"			"D000068880"		"Isophane Insulin, Human"			
"268943"	"Animals, Exotic"			"D000068881"		"Animals, Exotic"			
"268944"	"Paliperidone Palmitate"			"D000068882"		"Paliperidone Palmitate"			
"268945"	"Immunosenescence"			"D000068884"		"Immunosenescence"			
"268946"	"Canagliflozin"			"D000068896"		"Canagliflozin"			
"268947"	"Iridescence"			"D000068897"		"Iridescence"			
"268948"	"Raltegravir Potassium"			"D000068898"		"Raltegravir Potassium"			
"268949"	"Sitagliptin Phosphate, Metformin Hydrochloride Drug Combination"			"D000068899"		"Sitagliptin Phosphate, Metformin Hydrochloride Drug Combination"			
"268950"	"Sitagliptin Phosphate"			"D000068900"		"Sitagliptin Phosphate"			
"268951"	"Spatial Regression"			"D000068916"		"Spatial Regression"			
"268952"	"Theranostic Nanomedicine"			"D000068936"		"Theranostic Nanomedicine"			
"268953"	"Cosmeceuticals"			"D000068937"		"Cosmeceuticals"			
"268954"	"Prisoner Dilemma"			"D000068956"		"Prisoner Dilemma"			
"268955"	"Games, Recreational"			"D000068957"		"Games, Recreational"			
"268956"	"Return to Sport"			"D000068958"		"Return to Sport"			
"268957"	"Body Weight Maintenance"			"D000068959"		"Body Weight Maintenance"			
"268958"	"Concierge Medicine"			"D000068977"		"Concierge Medicine"			
"268959"	"Smartphone"			"D000068997"		"Smartphone"			
"268960"	"Humidifiers"			"D000068998"		"Humidifiers"			
"268961"	"Acculturation"			"D000069"		"Acculturation"			
"268962"	"Insulin Glargine"			"D000069036"		"Insulin Glargine"			
"268963"	"Lurasidone Hydrochloride"			"D000069056"		"Lurasidone Hydrochloride"			
"268964"	"Insulin Detemir"			"D000069057"		"Insulin Detemir"			
"268965"	"Vardenafil Dihydrochloride"			"D000069058"		"Vardenafil Dihydrochloride"			
"268966"	"Atorvastatin Calcium"			"D000069059"		"Atorvastatin Calcium"			
"268967"	"Fractures, Multiple"			"D000069076"		"Fractures, Multiple"			
"268968"	"Memory Consolidation"			"D000069077"		"Memory Consolidation"			
"268969"	"Seroconversion"			"D000069078"		"Seroconversion"			
"268970"	"Radiation Exposure"			"D000069079"		"Radiation Exposure"			
"268971"	"Health Smart Cards"			"D000069098"		"Health Smart Cards"			
"268972"	"Type I Secretion Systems"			"D000069177"		"Type I Secretion Systems"			
"268973"	"Type II Secretion Systems"			"D000069178"		"Type II Secretion Systems"			
"268974"	"Gastrointestinal Microbiome"			"D000069196"		"Gastrointestinal Microbiome"			
"268975"	"Contraceptive Prevalence Surveys"			"D000069216"		"Contraceptive Prevalence Surveys"			
"268976"	"Pericardial Fluid"			"D000069236"		"Pericardial Fluid"			
"268977"	"Arthrocentesis"			"D000069237"		"Arthrocentesis"			
"268978"	"Thoracentesis"			"D000069258"		"Thoracentesis"			
"268979"	"Superficial Musculoaponeurotic System"			"D000069259"		"Superficial Musculoaponeurotic System"			
"268980"	"Podosomes"			"D000069261"		"Podosomes"			
"268981"	"Plantar Plate"			"D000069262"		"Plantar Plate"			
"268982"	"Fallopia"			"D000069263"		"Fallopia"			
"268983"	"Arterial Switch Operation"			"D000069278"		"Arterial Switch Operation"			
"268984"	"Drug Resistant Epilepsy"			"D000069279"		"Drug Resistant Epilepsy"			
"268985"	"Electrocorticography"			"D000069280"		"Electrocorticography"			
"268986"	"Autoimmune Hypophysitis"			"D000069281"		"Autoimmune Hypophysitis"			
